iter	RMSE
0	396144.638
1	376574.5978
2	358464.796
3	341575.5287
4	325733.3454
5	311170.1061
6	297927.6097
7	285295.5483
8	273886.3209
9	263030.6749
10	253158.0925
11	243774.682
12	234997.743
13	227075.4055
14	219597.9605
15	212629.3928
16	206488.7091
17	200690.0275
18	195266.3331
19	190089.8556
20	185511.4197
21	181212.3632
22	177111.2578
23	173241.0393
24	169810.7417
25	166490.6517
26	163620.8541
27	160975.5764
28	158368.8158
29	155964.9984
30	153637.7092
31	151409.3749
32	149511.7431
33	147524.685
34	145854.549
35	144326.3769
36	142705.5511
37	141371.6255
38	140033.2244
39	138779.4235
40	137649.1597
41	136657.7309
42	135698.6813
43	134694.0926
44	133752.6425
45	132837.6204
46	132079.9921
47	131270.4842
48	130626.9064
49	129817.7701
50	129103.0395
51	128391.4959
52	127800.391
53	127261.4345
54	126591.6313
55	126095.6311
56	125521.2521
57	125100.3904
58	124573.9208
59	124166.0524
60	123750.7897
61	123276.1072
62	122915.1434
63	122402.1646
64	121988.5155
65	121692.38
66	121290.7716
67	120922.3453
68	120588.0664
69	120223.4953
70	119947.5029
71	119489.9943
72	119192.0498
73	118952.5663
74	118606.1465
75	118319.1353
76	118022.4396
77	117720.1611
78	117446.6028
79	117132.0225
80	116856.5301
81	116575.7789
82	116300.3225
83	115998.8511
84	115757.6062
85	115512.0959
86	115242.5098
87	114994.4498
88	114779.6729
89	114556.6316
90	114340.7068
91	114120.341
92	113917.0996
93	113749.8667
94	113583.8359
95	113358.0412
96	113111.6257
97	112966.2377
98	112786.6718
99	112598.0126
100	112383.6561
101	112199.3745
102	111999.075
103	111861.9108
104	111733.2278
105	111511.4261
106	111372.0281
107	111170.5888
108	110993.4575
109	110861.6003
110	110740.8281
111	110577.6632
112	110426.2399
113	110246.9551
114	110107.5708
115	109952.133
116	109824.2171
117	109716.6074
118	109540.6849
119	109431.7725
120	109263.1083
121	109135.5532
122	108996.6567
123	108878.1808
124	108799.6045
125	108682.368
126	108535.9093
127	108435.7258
128	108318.766
129	108189.6113
130	108065.932
131	107956.9174
132	107848.8013
133	107770.3637
134	107628.9618
135	107538.8397
136	107482.3456
137	107380.0619
138	107243.8833
139	107151.1848
140	107079.7218
141	106962.714
142	106817.3213
143	106675.4659
144	106574.311
145	106485.325
146	106376.0294
147	106310.5172
148	106208.9567
149	106116.0794
150	106033.4214
151	105935.6873
152	105837.6162
153	105748.3367
154	105634.1133
155	105540.4965
156	105459.6883
157	105345.8795
158	105278.9555
159	105212.756
160	105139.6415
161	105038.4776
162	104910.9736
163	104804.2943
164	104729.9626
165	104671.6538
166	104597.7759
167	104505.2697
168	104413.1254
169	104323.4141
170	104206.2254
171	104140.5108
172	104069.0698
173	103984.8438
174	103911.4614
175	103842.387
176	103764.0682
177	103708.9694
178	103629.843
179	103567.8016
180	103484.3958
181	103429.5457
182	103331.675
183	103272.3811
184	103213.4752
185	103156.9017
186	103089.8193
187	103037.5322
188	102979.9298
189	102934.3976
190	102831.0335
191	102772.136
192	102722.6341
193	102659.9493
194	102563.9062
195	102515.7538
196	102442.7174
197	102370.3209
198	102290.2039
199	102230.7287
200	102149.9746
201	102102.142
202	102046.4652
203	101937.935
204	101874.0798
205	101839.9725
206	101774.3706
207	101711.0958
208	101623.8454
209	101592.3629
210	101540.9738
211	101477.0591
212	101413.1281
213	101356.0453
214	101292.9032
215	101234.0673
216	101153.2088
217	101081.8416
218	101023.2434
219	100961.2031
220	100884.9662
221	100831.4967
222	100753.901
223	100702.9931
224	100664.6453
225	100617.5342
226	100550.3671
227	100438.9288
228	100390.4003
229	100351.9818
230	100299.8193
231	100225.9181
232	100151.7963
233	100101.4266
234	100051.8126
235	99984.06964
236	99937.68395
237	99904.7501
238	99863.09886
239	99818.71814
240	99767.43498
241	99694.93906
242	99631.8452
243	99545.61445
244	99493.59392
245	99411.9504
246	99371.34823
247	99326.28047
248	99253.29721
249	99198.03465
250	99152.61065
251	99088.36118
252	99052.45555
253	99029.13744
254	98970.71914
255	98903.41319
256	98844.8135
257	98797.86944
258	98728.29934
259	98679.48464
260	98595.29016
261	98557.89163
262	98497.60652
263	98461.35941
264	98426.87577
265	98377.45068
266	98325.55787
267	98271.22465
268	98206.95177
269	98162.68293
270	98099.7228
271	98043.25279
272	98002.49312
273	97931.2896
274	97871.70173
275	97804.14252
276	97760.74468
277	97710.79541
278	97679.40346
279	97634.91041
280	97597.31583
281	97542.17897
282	97483.96404
283	97444.11332
284	97405.85553
285	97336.45096
286	97268.66586
287	97246.51519
288	97202.29908
289	97167.33687
290	97113.0694
291	97079.56309
292	97024.33325
293	96978.28749
294	96940.31445
295	96877.76077
296	96820.9864
297	96757.40531
298	96712.36948
299	96675.17138
300	96644.02677
301	96614.68348
302	96581.7727
303	96536.79922
304	96489.403
305	96429.16648
306	96395.80834
307	96340.85333
308	96305.01809
309	96266.69911
310	96235.08718
311	96194.77754
312	96147.40472
313	96094.45262
314	96045.79008
315	95998.69693
316	95961.02472
317	95923.55216
318	95860.85613
319	95819.86849
320	95774.14001
321	95739.27096
322	95672.36834
323	95638.30835
324	95596.44645
325	95542.32454
326	95488.30866
327	95467.81115
328	95438.85014
329	95402.42365
330	95342.44355
331	95297.88727
332	95244.49516
333	95200.11609
334	95145.33334
335	95115.3177
336	95069.77706
337	95026.54353
338	94985.02216
339	94945.20885
340	94904.41753
341	94856.12412
342	94813.07747
343	94766.7786
344	94725.81804
345	94687.49961
346	94670.5278
347	94638.44617
348	94607.72293
349	94566.31971
350	94526.99715
351	94498.88658
352	94472.91219
