iter	Passed	Remaining
0	16	57780
1	34	60682
2	51	60437
3	69	60983
4	85	59702
5	101	58836
6	120	60167
7	140	61235
8	161	62532
9	182	63630
10	202	64227
11	234	68202
12	266	71562
13	294	73381
14	316	73649
15	340	74036
16	374	76679
17	398	77126
18	424	77797
19	443	77211
20	463	76774
21	488	77166
22	510	77131
23	529	76738
24	555	77276
25	578	77303
26	602	77473
27	618	76712
28	634	75925
29	654	75708
30	671	75099
31	687	74559
32	704	73999
33	721	73596
34	743	73617
35	763	73467
36	783	73335
37	799	72877
38	817	72537
39	833	72130
40	849	71696
41	866	71319
42	881	70851
43	898	70534
44	914	70248
45	930	69838
46	945	69472
47	961	69158
48	977	68863
49	994	68598
50	1011	68379
51	1027	68136
52	1043	67859
53	1058	67574
54	1076	67445
55	1091	67126
56	1107	66896
57	1121	66568
58	1137	66354
59	1152	66101
60	1167	65830
61	1184	65670
62	1199	65425
63	1216	65294
64	1234	65224
65	1252	65170
66	1269	65034
67	1285	64869
68	1300	64687
69	1316	64504
70	1331	64306
71	1349	64245
72	1369	64293
73	1384	64087
74	1400	63936
75	1415	63758
76	1430	63613
77	1450	63615
78	1468	63579
79	1489	63679
80	1506	63590
81	1522	63472
82	1538	63340
83	1555	63255
84	1571	63153
85	1587	63002
86	1604	62926
87	1623	62940
88	1642	62940
89	1658	62821
90	1674	62729
91	1690	62615
92	1707	62561
93	1722	62402
94	1736	62225
95	1751	62117
96	1767	62025
97	1782	61885
98	1799	61810
99	1814	61702
100	1831	61634
101	1845	61496
102	1862	61426
103	1876	61271
104	1891	61152
105	1907	61082
106	1922	60951
107	1938	60873
108	1955	60829
109	1969	60690
110	1983	60569
111	1999	60494
112	2016	60431
113	2033	60391
114	2049	60321
115	2067	60304
116	2082	60210
117	2096	60084
118	2111	59995
119	2126	59900
120	2141	59806
121	2157	59731
122	2171	59629
123	2186	59537
124	2201	59430
125	2217	59367
126	2232	59302
127	2248	59246
128	2273	59407
129	2289	59346
130	2306	59326
131	2320	59216
132	2336	59161
133	2350	59044
134	2366	58997
135	2382	58922
136	2395	58810
137	2412	58771
138	2428	58731
139	2445	58684
140	2459	58582
141	2474	58528
142	2490	58464
143	2506	58404
144	2521	58347
145	2537	58300
146	2553	58238
147	2568	58168
148	2586	58159
149	2601	58092
150	2616	58038
151	2632	57989
152	2648	57934
153	2663	57874
154	2679	57833
155	2695	57780
156	2710	57722
157	2727	57693
158	2742	57624
159	2757	57569
160	2771	57486
161	2787	57432
162	2802	57372
163	2817	57310
164	2832	57255
165	2847	57183
166	2861	57103
167	2877	57076
168	2893	57033
169	2908	56976
170	2925	56958
171	2941	56908
172	2956	56852
173	2971	56798
174	2985	56729
175	3007	56799
176	3027	56832
177	3043	56804
178	3064	56861
179	3086	56925
180	3108	57006
181	3125	56981
182	3147	57054
183	3164	57036
184	3185	57077
185	3200	57025
186	3220	57052
187	3242	57120
188	3264	57196
189	3285	57244
190	3303	57230
191	3318	57175
192	3333	57120
193	3349	57073
194	3366	57052
195	3381	56999
196	3397	56958
197	3412	56906
198	3428	56871
199	3443	56817
200	3460	56795
201	3476	56763
202	3490	56690
203	3507	56666
204	3522	56621
205	3536	56543
206	3551	56504
207	3572	56548
208	3594	56597
209	3611	56587
210	3633	56638
211	3653	56660
212	3671	56658
213	3688	56637
214	3711	56702
215	3730	56720
216	3750	56734
217	3769	56748
218	3785	56710
219	3802	56695
220	3819	56667
221	3833	56611
222	3849	56569
223	3863	56509
224	3878	56452
225	3893	56397
226	3908	56359
227	3925	56337
228	3942	56310
229	3958	56273
230	3974	56249
231	3991	56225
232	4009	56225
233	4026	56196
234	4041	56146
235	4057	56114
236	4071	56052
237	4085	55989
238	4099	55932
239	4114	55882
240	4129	55843
241	4146	55820
242	4162	55788
243	4177	55750
244	4192	55701
245	4209	55685
246	4225	55646
247	4240	55602
248	4256	55580
249	4272	55541
250	4294	55594
251	4315	55618
252	4330	55574
253	4344	55519
254	4359	55476
255	4374	55437
256	4390	55404
257	4406	55376
258	4424	55363
259	4439	55328
260	4456	55307
261	4476	55319
262	4497	55353
263	4515	55349
264	4531	55320
265	4546	55279
266	4561	55238
267	4577	55197
268	4592	55156
269	4607	55124
270	4623	55087
271	4638	55051
272	4653	55000
273	4668	54968
274	4684	54934
275	4701	54921
276	4716	54883
277	4734	54874
278	4752	54864
279	4767	54827
280	4782	54785
281	4799	54764
282	4816	54749
283	4831	54716
284	4846	54675
285	4862	54642
286	4878	54613
287	4892	54563
288	4907	54524
289	4922	54481
290	4936	54437
291	4950	54391
292	4967	54370
293	4985	54363
294	5002	54348
295	5019	54329
296	5037	54322
297	5054	54313
298	5072	54303
299	5087	54265
300	5101	54220
301	5116	54177
302	5130	54132
303	5145	54096
304	5164	54103
305	5184	54113
306	5199	54074
307	5217	54068
308	5232	54034
309	5248	54009
310	5264	53979
311	5283	53984
312	5307	54040
313	5323	54014
314	5340	53997
315	5355	53956
316	5370	53925
317	5387	53907
318	5403	53886
319	5419	53851
320	5434	53817
321	5451	53799
322	5466	53769
323	5481	53732
324	5497	53704
325	5512	53671
326	5528	53642
327	5542	53596
328	5556	53552
329	5571	53516
330	5586	53489
331	5603	53467
332	5619	53441
333	5635	53419
334	5650	53383
335	5665	53354
336	5682	53334
337	5698	53308
338	5714	53283
339	5730	53261
340	5747	53246
341	5766	53251
342	5783	53234
343	5799	53207
344	5815	53183
345	5830	53152
346	5844	53107
347	5859	53073
348	5874	53043
349	5891	53023
350	5908	53007
351	5923	52976
352	5938	52941
353	5953	52911
354	5967	52871
355	5982	52832
356	5998	52806
357	6015	52791
358	6030	52759
359	6046	52742
360	6064	52730
361	6081	52720
362	6096	52686
363	6112	52661
364	6129	52646
365	6146	52633
366	6162	52607
367	6177	52578
368	6195	52565
369	6209	52527
370	6224	52498
371	6240	52474
372	6255	52445
373	6270	52412
374	6284	52371
375	6303	52370
376	6327	52416
377	6343	52396
378	6360	52375
379	6376	52355
380	6391	52325
381	6407	52299
382	6423	52275
383	6437	52237
