iter	RMSE
0	85045.1531
1	84477.56646
2	83922.27444
3	83391.88734
4	82875.42279
5	82376.73058
6	81884.43284
7	81408.40384
8	80947.38647
9	80499.13246
10	80071.23431
11	79668.4732
12	79268.42135
13	78871.80575
14	78488.25217
15	78112.20718
16	77754.50442
17	77414.61464
18	77078.96702
19	76761.78408
20	76450.91362
21	76148.56497
22	75858.76192
23	75575.60796
24	75296.07266
25	75030.03042
26	74773.46234
27	74517.90442
28	74282.04373
29	74044.53935
30	73811.09313
31	73584.70407
32	73374.52193
33	73161.319
34	72953.18213
35	72756.37273
36	72559.21378
37	72370.59228
38	72192.96814
39	72024.36711
40	71858.71817
41	71692.10837
42	71531.80434
43	71374.4779
44	71223.95799
45	71069.10763
46	70925.69252
47	70793.50086
48	70660.20407
49	70526.71802
50	70399.46215
51	70282.40303
52	70161.60103
53	70047.28866
54	69932.55592
55	69817.91227
56	69709.70152
57	69605.4236
58	69513.5969
59	69424.39414
60	69329.28991
61	69234.80788
62	69144.28022
63	69057.11539
64	68970.41018
65	68889.96062
66	68809.53231
67	68730.03174
68	68653.99037
69	68582.78586
70	68512.9044
71	68439.95034
72	68367.63131
73	68301.26598
74	68233.18985
75	68165.9929
76	68096.21067
77	68034.1882
78	67971.01326
79	67913.73971
80	67857.64575
81	67799.17529
82	67747.12509
83	67690.5648
84	67645.27638
85	67592.85678
86	67542.17314
87	67490.67857
88	67445.34204
89	67397.90467
90	67352.17047
91	67301.95502
92	67256.12694
93	67209.09236
94	67171.62113
95	67128.55686
96	67088.91415
97	67044.93496
98	67003.21031
99	66962.08275
100	66924.54991
101	66888.11415
102	66853.04178
103	66816.32899
104	66783.04819
105	66752.86912
106	66717.62555
107	66686.32439
108	66654.95152
109	66623.03995
110	66593.67031
111	66569.04817
112	66541.29047
113	66515.95712
114	66483.01222
115	66452.75917
116	66422.6347
117	66393.61399
118	66365.32228
119	66337.75271
120	66313.87967
121	66289.97108
122	66262.08782
123	66238.13824
124	66211.76349
125	66187.51889
126	66160.53743
127	66140.92322
128	66118.66295
129	66097.04533
130	66076.6396
131	66055.69213
132	66034.75048
133	66017.0262
134	65995.05233
135	65974.10383
136	65954.98505
137	65931.22963
138	65911.69594
139	65893.71157
140	65875.3476
141	65854.19965
142	65834.25499
143	65818.51725
144	65800.35548
145	65780.97707
146	65760.44582
147	65742.25114
148	65721.52654
149	65703.86617
150	65688.34228
151	65667.72593
152	65652.3327
153	65633.73011
154	65622.34704
155	65608.06649
156	65593.52013
157	65575.20303
158	65559.60351
159	65545.72963
160	65531.98645
161	65517.76917
162	65502.34769
163	65490.63655
164	65474.71244
165	65461.40203
166	65439.42343
167	65428.91685
168	65416.49195
169	65403.97243
170	65390.98044
171	65380.69598
172	65368.39798
173	65356.37132
174	65343.805
175	65333.01244
176	65317.75346
177	65307.81983
178	65298.71474
179	65286.91128
180	65272.94906
181	65262.06993
182	65247.31667
183	65236.40073
184	65221.05479
185	65207.99778
186	65195.89489
187	65185.76744
188	65173.23549
189	65163.31438
190	65153.46619
191	65139.39612
192	65129.74415
193	65120.37902
194	65109.08669
195	65098.2646
196	65084.26693
197	65074.59987
198	65063.41933
199	65050.99824
200	65039.94239
201	65029.32231
202	65019.12604
203	65008.15006
204	64998.87285
205	64988.22815
206	64978.39286
207	64968.79346
208	64953.01407
209	64945.07173
210	64936.38843
211	64931.36586
212	64923.82886
213	64913.96576
214	64905.11218
215	64900.67187
216	64892.88105
217	64883.21293
218	64877.33757
219	64870.02093
220	64857.58358
221	64851.99977
222	64835.18456
223	64827.34087
224	64818.52958
225	64806.17173
226	64798.48559
227	64791.01278
228	64781.52522
229	64770.52602
230	64762.93671
231	64754.09376
232	64742.27477
233	64732.84093
234	64724.8847
235	64716.10405
236	64706.41478
237	64699.27927
238	64688.55121
239	64679.09129
240	64672.77158
241	64667.46035
242	64661.81639
243	64653.3872
244	64647.16069
245	64635.68575
246	64629.62258
247	64622.07494
248	64613.77525
249	64607.14806
250	64600.16028
251	64593.84818
252	64586.89901
253	64581.0918
254	64574.44716
255	64565.4251
256	64558.85386
257	64553.90005
258	64548.42974
259	64542.67437
260	64538.36415
261	64530.88555
262	64525.01587
263	64519.35203
264	64507.89461
265	64502.72925
266	64497.17731
267	64486.02679
268	64476.48255
269	64470.27922
270	64465.03468
271	64456.65397
272	64450.90912
273	64444.02631
274	64442.01963
275	64435.16796
276	64429.97803
277	64422.71409
278	64415.25807
279	64408.54878
280	64403.74324
281	64398.39127
282	64386.75295
