iter	Passed	Remaining
0	30	45609
1	57	42983
2	79	39793
3	99	37308
4	124	37370
5	151	37743
6	179	38280
7	206	38488
8	239	39601
9	268	40069
10	296	40102
11	323	40107
12	348	39876
13	372	39573
14	393	38945
15	415	38548
16	445	38849
17	470	38761
18	497	38740
19	523	38731
20	540	38040
21	564	37912
22	590	37912
23	619	38074
24	643	37991
25	667	37856
26	692	37787
27	715	37637
28	742	37651
29	769	37715
30	797	37781
31	822	37751
32	849	37748
33	873	37657
34	898	37612
35	926	37670
36	954	37760
37	977	37623
38	997	37358
39	1022	37309
40	1045	37189
41	1072	37218
42	1100	37272
43	1123	37169
44	1149	37157
45	1176	37190
46	1202	37172
47	1232	37285
48	1254	37144
49	1279	37113
50	1307	37143
51	1332	37094
52	1359	37115
53	1386	37122
54	1413	37123
55	1442	37187
56	1467	37147
57	1495	37173
58	1520	37131
59	1545	37094
60	1569	37024
61	1591	36907
62	1617	36903
63	1641	36835
64	1667	36809
65	1693	36785
66	1719	36772
67	1746	36780
68	1772	36763
69	1797	36718
70	1820	36647
71	1847	36648
72	1872	36608
73	1901	36643
74	1921	36507
75	1949	36525
76	1973	36477
77	1996	36401
78	2023	36391
79	2051	36413
80	2079	36422
81	2106	36418
82	2136	36472
83	2163	36468
84	2187	36421
85	2216	36441
86	2241	36402
87	2268	36407
88	2298	36442
89	2327	36460
90	2355	36463
91	2383	36481
92	2408	36435
93	2435	36432
94	2467	36493
95	2504	36627
96	2540	36745
97	2583	36954
98	2624	37144
99	2662	37271
100	2699	37388
101	2739	37541
102	2773	37623
103	2806	37671
104	2845	37807
105	2881	37895
106	2921	38030
107	2956	38110
108	2989	38150
109	3015	38105
110	3041	38064
111	3069	38037
112	3097	38015
113	3126	38016
114	3151	37958
115	3178	37919
116	3201	37838
117	3229	37819
118	3255	37785
119	3280	37730
120	3309	37713
121	3333	37649
122	3359	37615
123	3387	37586
124	3414	37559
125	3438	37497
126	3465	37465
127	3495	37468
128	3520	37415
129	3545	37361
130	3571	37328
131	3592	37234
132	3621	37223
133	3646	37172
134	3672	37131
135	3700	37116
136	3729	37108
137	3754	37052
138	3781	37021
139	3808	36996
140	3832	36938
141	3856	36882
142	3880	36822
143	3908	36808
144	3933	36760
145	3963	36755
146	3990	36726
147	4011	36646
148	4037	36612
149	4066	36594
150	4092	36564
151	4116	36507
152	4137	36429
153	4165	36407
154	4193	36390
155	4218	36343
156	4241	36279
157	4265	36232
158	4292	36199
159	4317	36160
160	4341	36103
161	4366	36062
162	4392	36033
163	4416	35979
164	4443	35954
165	4462	35857
166	4492	35855
167	4514	35796
168	4538	35741
169	4558	35666
170	4583	35622
171	4611	35602
172	4640	35597
173	4666	35561
174	4693	35537
175	4724	35537
176	4747	35488
177	4771	35435
178	4794	35385
179	4814	35303
180	4839	35265
181	4866	35240
182	4890	35197
183	4919	35187
184	4944	35143
185	4973	35132
186	4998	35097
187	5026	35079
188	5051	35041
189	5080	35031
190	5107	35000
191	5136	34992
192	5155	34912
193	5183	34892
194	5212	34886
195	5252	34943
196	5285	34958
197	5321	34992
198	5357	35028
199	5395	35072
200	5430	35098
201	5462	35100
202	5487	35061
203	5514	35032
204	5540	34999
205	5567	34972
206	5591	34925
207	5615	34882
208	5642	34855
209	5668	34822
210	5693	34781
211	5721	34759
212	5751	34753
213	5775	34704
214	5805	34699
215	5828	34644
216	5857	34633
217	5882	34594
218	5909	34565
219	5933	34524
220	5957	34476
221	5980	34428
222	6007	34401
223	6033	34372
224	6062	34354
225	6088	34322
226	6115	34294
227	6141	34261
228	6167	34228
229	6196	34214
230	6222	34184
231	6248	34151
232	6274	34120
233	6303	34103
234	6331	34083
235	6361	34073
236	6393	34071
237	6418	34036
238	6458	34075
239	6484	34044
240	6507	33998
241	6535	33975
242	6558	33926
243	6582	33881
244	6605	33834
245	6631	33806
246	6655	33760
247	6680	33725
248	6710	33712
249	6735	33678
250	6761	33645
251	6792	33637
252	6819	33614
253	6841	33562
254	6867	33527
255	6892	33495
256	6920	33470
257	6949	33455
258	6975	33421
259	7007	33419
260	7040	33422
261	7080	33458
262	7117	33476
263	7150	33478
264	7190	33511
265	7230	33543
266	7269	33570
267	7298	33551
268	7329	33540
269	7356	33511
270	7383	33484
271	7410	33458
272	7437	33426
273	7462	33390
274	7490	33367
275	7512	33314
276	7538	33285
277	7566	33258
278	7594	33234
279	7621	33206
280	7643	33156
281	7669	33125
282	7696	33099
283	7704	32989
284	7730	32955
285	7751	32904
286	7780	32883
287	7805	32846
288	7828	32805
289	7855	32775
290	7880	32738
291	7907	32711
292	7934	32687
293	7958	32645
294	7982	32606
295	8010	32585
296	8034	32544
297	8057	32501
298	8088	32487
299	8116	32466
300	8142	32435
301	8172	32418
302	8198	32389
303	8222	32350
304	8249	32321
305	8276	32293
306	8301	32259
307	8341	32282
308	8372	32272
309	8396	32232
310	8423	32202
311	8445	32159
312	8470	32122
313	8496	32091
314	8521	32056
315	8546	32022
316	8569	31980
317	8597	31958
318	8624	31930
319	8649	31895
320	8673	31856
321	8699	31824
322	8727	31801
323	8755	31778
324	8782	31752
325	8809	31726
326	8834	31691
327	8858	31654
328	8882	31615
329	8908	31584
330	8934	31553
331	8950	31490
332	8978	31465
333	9002	31427
334	9030	31403
335	9035	31302
336	9058	31262
337	9086	31238
338	9112	31209
339	9136	31171
340	9167	31159
341	9193	31128
342	9222	31108
343	9250	31084
344	9279	31065
345	9305	31034
346	9329	30999
347	9357	30976
348	9382	30942
349	9409	30915
350	9435	30888
351	9467	30877
352	9491	30841
353	9519	30816
354	9547	30794
355	9574	30767
356	9600	30738
357	9623	30699
358	9647	30662
359	9671	30626
360	9699	30602
361	9725	30574
362	9750	30539
363	9781	30525
364	9805	30491
365	9833	30468
366	9864	30454
367	9888	30416
368	9912	30380
369	9934	30339
370	9960	30310
371	9965	30216
372	9993	30196
373	10021	30170
374	10047	30142
375	10072	30110
376	10097	30077
377	10123	30049
378	10152	30027
379	10175	29991
380	10201	29961
381	10228	29934
