iter	RMSE
0	404952.3148
1	393369.2078
2	381900.5296
3	370868.6684
4	360338.7702
5	350189.4506
6	340578.1912
7	331355.8313
8	322344.166
9	313811.2965
10	305645.3947
11	298089.7827
12	290790.7283
13	283751.5443
14	276840.1514
15	269926.7773
16	263666.9574
17	257300.4235
18	251328.0663
19	245722.084
20	240423.5585
21	235160.5353
22	230013.9653
23	225526.8648
24	221045.8542
25	216752.2448
26	212529.0762
27	208732.6056
28	204982.0531
29	201439.5289
30	198002.1534
31	194566.8961
32	191554.2956
33	188513.8601
34	185634.1788
35	182969.0184
36	180264.0941
37	177772.2297
38	175363.0021
39	173025.0025
40	170821.8548
41	168727.2442
42	166745.1227
43	164893.3291
44	163020.1381
45	161297.2903
46	159602.5618
47	158123.6893
48	156494.1149
49	155064.3467
50	153594.9114
51	152094.8711
52	150773.1495
53	149483.5288
54	148377.5948
55	147258.992
56	146174.1075
57	145087.2335
58	144068.923
59	143058.7135
60	142082.1307
61	141148.6177
62	140301.7032
63	139439.1578
64	138598.3473
65	137845.5304
66	137071.9709
67	136394.7114
68	135683.7024
69	135106.8248
70	134506.2318
71	133910.7136
72	133351.4389
73	132772.4794
74	132259.6957
75	131694.4529
76	131183.8947
77	130700.6542
78	130194.4806
79	129699.8423
80	129257.9365
81	128793.5479
82	128381.3711
83	127968.6261
84	127463.6086
85	127065.9015
86	126618.3758
87	126179.7593
88	125835.984
89	125392.5105
90	125016.4944
91	124672.5855
92	124360.5022
93	124053.2766
94	123779.5661
95	123467.8267
96	123209.9776
97	122932.6468
98	122600.6501
99	122301.662
100	122014.1176
101	121773.5257
102	121540.6892
103	121257.8517
104	121044.2454
105	120772.0656
106	120572.9663
107	120387.1067
108	120196.4889
109	119953.8983
110	119769.052
111	119476.3448
112	119304.6237
113	119135.5767
114	118925.8256
115	118776.8092
116	118578.6271
117	118427.3469
118	118160.3582
119	117872.5053
120	117663.0946
121	117429.9085
122	117250.8124
123	117042.7033
124	116890.2076
125	116743.6587
126	116539.3475
127	116330.9922
128	116098.5575
129	115907.5152
130	115712.5727
131	115548.774
132	115426.3289
133	115249.414
134	115120.6516
135	114964.9652
136	114790.2414
137	114637.9682
138	114521.5726
139	114401.8307
140	114182.75
141	113986.5144
142	113840.8038
143	113720.2907
144	113575.2603
145	113442.7262
146	113325.4222
147	113158.5129
148	113034.7381
149	112940.0815
150	112832.8862
151	112669.9381
152	112526.7806
153	112368.2045
154	112236.465
155	112105.9813
156	111951.1064
157	111835.1122
158	111725.2819
159	111610.1017
160	111508.2573
161	111421.807
162	111271.7382
163	111181.6494
164	111055.4791
165	110923.8426
166	110814.8895
167	110715.6524
168	110596.5666
169	110487.3887
170	110407.4712
171	110287.182
172	110191.7404
173	110113.0182
174	110051.7155
175	109930.2982
176	109825.8406
177	109741.5107
178	109643.2643
179	109527.8989
180	109438.6062
181	109330.4931
182	109239.1389
183	109167.5194
184	109077.8017
185	108969.1738
186	108854.7381
187	108754.2802
188	108647.6844
189	108555.737
190	108478.3323
191	108409.3821
192	108291.06
193	108179.2
194	108091.685
195	108010.5086
196	107930.4535
197	107851.1081
198	107790.6002
199	107708.9127
200	107620.42
201	107544.4591
202	107474.8358
203	107379.3805
204	107259.0502
205	107203.1126
206	107129.2962
207	107066.3893
208	106961.0255
209	106914.2755
210	106817.6248
211	106732.2604
212	106652.1163
213	106565.0241
214	106518.4988
215	106446.6546
216	106370.9926
217	106274.3368
218	106200.7209
219	106155.0422
220	106083.9496
221	106034.0082
222	105935.1277
223	105890.9647
224	105816.4292
225	105768.9574
226	105696.6819
227	105633.9099
228	105566.017
229	105503.0682
230	105439.6892
231	105387.8504
232	105303.0855
233	105219.6495
234	105145.3377
235	105078.6405
236	105013.3858
237	104943.4237
238	104875.0259
239	104820.6987
240	104746.7967
241	104698.0019
242	104632.9508
243	104578.775
244	104526.6039
245	104433.311
246	104396.4448
247	104333.968
248	104291.5354
249	104239.6479
250	104118.7093
251	104065.1155
252	103992.9444
253	103967.3745
254	103857.6819
255	103783.4298
256	103724.1876
257	103620.1402
258	103552.2123
259	103498.5217
260	103448.1685
261	103397.535
262	103306.76
263	103249.1569
264	103191.1304
265	103137.5343
266	103075.7194
267	103018.196
268	102973.2553
269	102938.8852
270	102875.0518
271	102816.6486
272	102749.1883
273	102695.0485
274	102655.636
275	102593.1171
276	102552.2685
277	102505.4184
278	102428.1541
279	102368.4873
280	102292.1384
281	102243.1222
282	102182.4345
283	102120.4255
284	102068.8162
285	101973.6716
286	101929.2873
287	101854.485
288	101815.4628
289	101751.8395
290	101702.9784
291	101649.3395
292	101586.6232
293	101546.6272
294	101509.5217
295	101444.9988
296	101351.6355
297	101290.5175
298	101203.243
299	101152.9558
300	101082.3503
301	101013.7303
302	100955.5796
303	100916.9806
304	100872.6309
305	100821.9859
306	100773.2972
307	100728.3937
308	100695.9889
309	100645.2765
310	100587.9002
311	100535.3043
312	100495.0183
313	100435.6562
314	100411.5811
315	100378.2182
316	100288.4302
317	100231.991
318	100199.1895
319	100144.6796
320	100065.6331
321	100015.5875
322	99956.80742
323	99916.69399
324	99845.41597
325	99803.65313
326	99775.39386
327	99729.63451
328	99669.26858
329	99602.79511
330	99544.78176
331	99456.20141
332	99425.68927
333	99376.38572
334	99313.0517
335	99265.51625
336	99222.39331
337	99186.99853
338	99116.66973
339	99046.27746
340	99011.31724
341	98972.90271
342	98916.6331
343	98870.88871
344	98814.53088
345	98765.4882
346	98722.34008
347	98672.62768
348	98623.13325
349	98572.06261
350	98535.39215
351	98505.40222
352	98442.08255
353	98389.35453
354	98333.17703
355	98298.92568
356	98245.68754
357	98210.09189
358	98146.35955
359	98078.57682
360	98039.95536
361	98000.71399
362	97970.50259
363	97926.24146
364	97881.68312
365	97835.99939
366	97800.5805
367	97751.11459
368	97711.24574
369	97665.56794
370	97595.23442
371	97544.91901
372	97498.14973
373	97445.69897
374	97395.76619
375	97371.98468
376	97331.95587
377	97273.99195
378	97234.95669
379	97189.92288
380	97155.27038
381	97113.4292
382	97069.73426
383	97029.16662
384	96992.45296
385	96949.59404
386	96895.09303
387	96846.16827
388	96804.52378
389	96763.11796
390	96735.18623
391	96674.54879
392	96618.35386
393	96579.56315
394	96542.80097
395	96485.78451
396	96448.26601
397	96397.23744
398	96351.10604
399	96312.35399
400	96278.95521
401	96244.26419
402	96205.46913
403	96157.08851
404	96107.57278
405	96063.87402
406	96031.7151
407	95993.55514
408	95941.06976
409	95892.61657
410	95862.96502
411	95824.11179
412	95781.3244
413	95724.68124
414	95685.5932
415	95644.53604
416	95597.8847
417	95564.30046
418	95531.97214
419	95492.18811
420	95453.50962
421	95400.03573
422	95353.65815
423	95322.29596
424	95288.2728
425	95259.69247
426	95224.82871
427	95190.77817
428	95145.66309
429	95109.0748
430	95061.33714
431	95018.4232
432	94978.76142
433	94941.61114
434	94912.69849
435	94866.31563
436	94830.01203
437	94790.85631
438	94755.08128
439	94727.27813
440	94695.85616
441	94656.0375
442	94613.36849
443	94579.78048
444	94533.47259
445	94504.5127
446	94464.26424
447	94418.7131
448	94386.04743
449	94353.18627
450	94320.1028
451	94263.58445
452	94234.0353
453	94199.57758
454	94157.6571
455	94110.26581
456	94088.86801
457	94042.81269
458	94003.90252
459	93955.56033
460	93921.75601
461	93883.66315
462	93852.35035
463	93819.58231
464	93784.52227
465	93748.17863
466	93722.96248
467	93690.73688
468	93662.32381
469	93612.72671
470	93570.69569
471	93547.13173
472	93518.83184
473	93481.82638
474	93448.33781
475	93419.25678
476	93395.02452
477	93358.19354
478	93310.74143
479	93271.65626
480	93235.58853
481	93183.16124
482	93147.34748
483	93109.20716
484	93084.86116
485	93047.69142
486	93005.57918
487	92982.88255
488	92942.24241
489	92918.08919
490	92880.21779
491	92831.07266
492	92824.93079
493	92778.19473
494	92738.61995
495	92727.82766
496	92694.58722
497	92665.03873
498	92639.31094
499	92608.30441
500	92561.96896
501	92526.45563
502	92489.34602
503	92464.65705
504	92416.56589
505	92390.71124
506	92357.27037
507	92327.28437
508	92283.76426
509	92247.54946
510	92216.96523
511	92185.00883
512	92145.73763
513	92121.95905
514	92078.25083
515	92045.68619
516	92004.52176
517	91979.73573
518	91954.58781
519	91924.1117
520	91899.75317
521	91854.99307
522	91827.09318
523	91796.15664
524	91763.76005
525	91728.50211
526	91686.15064
527	91676.70581
528	91641.34278
529	91612.91007
530	91568.08499
531	91538.26211
532	91520.37776
533	91489.05433
534	91455.45504
535	91427.50881
536	91407.97534
537	91371.74176
538	91348.58449
539	91318.39871
540	91281.08556
541	91245.81452
542	91218.12881
543	91188.00521
544	91158.27112
545	91149.81628
546	91118.31196
547	91082.73953
548	91064.35213
549	91037.62882
550	91010.17071
551	90974.73056
552	90931.52098
553	90909.23037
554	90878.21045
555	90848.19262
556	90811.41192
557	90777.89443
558	90746.76974
559	90726.60518
560	90700.73831
561	90674.21094
562	90646.65749
563	90618.73069
564	90584.09095
565	90551.32118
566	90516.75486
567	90495.36826
568	90469.81275
569	90445.43314
570	90418.86741
571	90398.5805
572	90368.85326
573	90347.95644
574	90322.4987
575	90295.41019
576	90256.72236
577	90214.27183
578	90188.79525
579	90160.3067
580	90134.62955
581	90095.08165
582	90068.25293
583	90028.44875
584	89991.01543
585	89959.18759
586	89936.21452
587	89912.83754
588	89882.50059
589	89855.28412
590	89834.87487
591	89800.94585
592	89775.07283
593	89740.82125
594	89715.42136
595	89688.18192
596	89668.5659
597	89646.32288
598	89616.54028
599	89579.80018
600	89542.32315
601	89508.14406
602	89468.97467
603	89444.10946
604	89421.61876
605	89398.93845
606	89370.98729
607	89342.76341
608	89318.72798
609	89292.9697
610	89261.20926
611	89235.32376
612	89208.61034
613	89174.58254
614	89137.92268
615	89101.55923
616	89074.45638
617	89057.50338
618	89034.22393
619	89009.18484
620	88979.09198
621	88952.0378
622	88921.59827
623	88891.35137
624	88855.718
625	88821.73028
626	88792.36515
627	88775.29905
628	88744.43927
629	88719.62412
630	88681.68117
631	88650.40262
632	88620.97028
633	88601.82981
634	88575.31716
635	88543.76287
636	88526.99797
637	88504.36289
638	88474.42638
639	88443.63247
640	88424.74093
641	88397.8986
642	88373.9993
643	88353.74589
644	88323.92751
645	88307.00417
646	88280.695
647	88250.81196
648	88204.93257
649	88182.22559
650	88153.01525
651	88130.90673
652	88111.06099
653	88081.99328
654	88050.08153
655	88013.95437
656	87987.28069
657	87963.78254
658	87941.49192
659	87929.66268
660	87906.94444
661	87869.4565
662	87829.8762
663	87792.99726
664	87766.72302
665	87737.77856
666	87715.08669
667	87685.28604
668	87665.03868
669	87649.78485
670	87624.49118
671	87601.00182
672	87579.1753
673	87566.05664
674	87547.09014
675	87514.08104
676	87483.85843
677	87463.5701
678	87438.3591
679	87407.78527
680	87385.36693
681	87355.9552
682	87329.47681
683	87289.58417
684	87266.47145
685	87243.19725
686	87206.20492
687	87186.59738
688	87167.94548
689	87127.77196
690	87095.50275
691	87055.00415
692	87028.9364
693	87007.13959
694	86987.94133
695	86962.7935
696	86934.96129
697	86910.78999
698	86888.34218
699	86854.42352
700	86837.17956
701	86815.79916
702	86789.50854
703	86752.10565
704	86725.40785
705	86698.77452
706	86670.19811
707	86639.18791
708	86619.63882
709	86591.37168
710	86575.97786
711	86542.31192
712	86518.48004
713	86505.04582
714	86471.61723
715	86444.44734
716	86427.6719
717	86405.6467
718	86381.64455
719	86352.8708
720	86317.26469
721	86284.37155
722	86252.74028
723	86232.58235
724	86201.06546
725	86174.09037
726	86131.86958
727	86111.9025
728	86073.88413
729	86047.88127
730	86026.94312
731	86007.09085
732	85983.65545
733	85963.91345
734	85924.399
735	85901.5852
736	85882.13642
737	85849.93881
738	85825.97204
739	85811.80663
740	85783.92588
741	85753.52494
742	85734.67705
743	85712.90612
744	85676.41944
745	85645.20827
746	85613.83888
747	85594.0947
748	85557.57639
749	85534.45113
750	85511.5826
751	85493.8694
752	85473.69367
753	85451.10947
754	85437.64135
755	85415.49687
756	85405.44584
757	85382.77473
758	85353.05044
759	85326.09734
760	85306.54092
761	85275.85968
762	85243.1777
763	85209.78536
764	85193.278
765	85171.50906
766	85154.29735
767	85125.61918
768	85105.90338
769	85089.48737
770	85070.22074
771	85058.29011
772	85012.73027
773	84986.47884
774	84966.14266
775	84952.98703
776	84922.64677
777	84901.76905
778	84878.79292
779	84858.6457
780	84845.25273
781	84814.13404
782	84796.68227
783	84772.14551
784	84750.88711
785	84738.66395
786	84711.28
787	84689.48139
788	84677.506
789	84668.64015
790	84652.26216
791	84631.91596
792	84595.52222
793	84581.98888
794	84565.41127
795	84535.07794
796	84502.00064
797	84470.16697
798	84446.46289
799	84420.79092
800	84402.15826
801	84377.92428
802	84365.59357
803	84328.74402
804	84300.57613
805	84285.58949
806	84258.16164
807	84240.14444
808	84217.26342
809	84200.0551
810	84180.91763
811	84161.64093
812	84151.10105
813	84132.00093
814	84110.98112
815	84090.40101
816	84061.26299
817	84034.91079
818	84018.00229
819	83995.00457
820	83969.57419
821	83946.69497
822	83933.49145
823	83920.54376
824	83898.84753
825	83877.99915
826	83855.96019
827	83839.82983
828	83825.18179
829	83810.46378
830	83796.48911
831	83771.25133
832	83740.91166
833	83721.038
834	83696.70185
835	83672.61568
836	83660.33988
837	83644.93395
838	83621.1627
839	83602.88293
840	83580.74113
841	83559.0684
842	83542.09072
843	83515.75676
844	83502.94387
845	83481.96863
846	83457.29586
847	83436.31687
848	83410.10751
849	83388.14311
850	83367.51292
851	83344.22716
852	83321.5267
853	83297.45521
854	83280.01691
855	83266.52028
856	83250.7815
857	83236.65935
858	83216.80058
859	83191.01912
860	83172.93559
861	83154.6015
862	83132.50262
863	83106.19532
864	83085.78861
865	83056.07639
866	83037.86372
867	83019.93426
868	83004.15497
869	82982.2939
870	82961.36989
871	82937.94509
872	82921.66727
873	82901.06888
874	82884.03782
875	82862.93859
876	82837.48212
877	82819.0204
878	82794.72551
879	82774.93301
880	82755.9343
881	82722.50037
882	82708.44738
883	82686.05704
884	82653.22022
885	82630.83959
886	82601.5863
887	82588.32657
888	82565.20153
889	82535.0178
890	82511.37188
891	82486.22644
892	82473.74005
893	82455.3442
894	82437.00533
895	82414.36446
896	82398.82169
897	82373.11475
898	82347.05102
899	82319.08699
900	82299.37173
901	82287.84764
902	82266.0447
903	82249.64129
904	82229.74092
905	82208.47596
906	82186.47902
907	82166.52932
908	82152.79864
909	82127.24368
910	82109.10059
911	82093.57198
912	82067.75433
913	82052.05789
914	82026.7339
915	82014.40732
916	82003.47113
917	81971.18466
918	81947.18787
919	81918.58531
920	81899.50854
921	81872.1951
922	81853.59506
923	81835.33257
924	81814.48672
925	81792.51
926	81774.95875
927	81759.55212
928	81748.91783
929	81721.29791
930	81699.49079
931	81679.42651
932	81666.89011
933	81649.15077
934	81627.87536
935	81603.93618
936	81588.5582
937	81568.78398
938	81551.07693
939	81525.31463
940	81499.78709
941	81479.6764
942	81454.06525
943	81438.49148
944	81424.65513
945	81410.30368
946	81394.65285
947	81379.5997
948	81358.95173
949	81345.54163
950	81326.08766
951	81295.58857
952	81273.77448
953	81245.18284
954	81225.46481
955	81206.15331
956	81184.99315
957	81156.5447
958	81140.38872
959	81125.84681
960	81106.0555
961	81089.62818
962	81074.19233
963	81054.101
964	81036.12142
965	81024.58579
966	81010.61244
967	80989.25737
968	80971.67164
969	80951.82781
970	80938.36586
971	80911.79445
972	80891.40345
973	80873.67604
974	80857.40562
975	80837.54675
976	80807.50565
977	80785.83552
978	80767.04372
979	80740.94676
980	80722.84042
981	80711.18936
982	80697.71616
983	80675.17603
984	80663.34589
985	80640.20544
986	80627.56573
987	80616.18795
988	80590.6699
989	80576.59425
990	80561.06751
991	80543.40928
992	80525.6201
993	80501.27755
994	80480.20525
995	80457.76137
996	80437.8472
997	80419.9165
998	80405.42289
999	80379.1951
1000	80360.0048
1001	80331.51384
1002	80312.57289
1003	80298.54495
1004	80283.31558
1005	80270.55464
1006	80253.75579
1007	80231.13605
1008	80210.4023
1009	80188.46712
1010	80171.74975
1011	80157.18829
1012	80144.39294
1013	80123.5036
1014	80102.88645
1015	80082.81884
1016	80061.89363
1017	80042.21515
1018	80018.18539
1019	79998.56836
1020	79984.47201
1021	79967.47191
1022	79952.0485
1023	79925.93868
1024	79900.67115
1025	79886.39472
1026	79870.45346
1027	79849.15918
1028	79839.4717
1029	79829.29212
1030	79814.4809
1031	79794.28909
1032	79777.60592
1033	79753.99805
1034	79739.10966
1035	79719.89221
1036	79702.6512
1037	79677.40613
1038	79660.56428
1039	79651.34066
1040	79638.52142
1041	79631.04007
1042	79614.70833
1043	79598.55254
1044	79583.31316
1045	79560.31483
1046	79543.10735
1047	79520.84247
1048	79495.18889
1049	79477.55834
1050	79462.96876
1051	79450.01464
1052	79433.65553
1053	79404.84553
1054	79383.35242
1055	79367.11767
1056	79351.60788
1057	79331.60385
1058	79318.76979
1059	79305.87516
1060	79289.19339
1061	79268.30256
1062	79258.81321
1063	79236.60741
1064	79219.88998
1065	79202.5634
1066	79187.85669
1067	79165.28015
1068	79151.54188
1069	79141.43555
1070	79128.73841
1071	79114.51696
1072	79103.42539
1073	79078.36398
1074	79053.66769
1075	79037.65674
1076	79024.64838
1077	79006.53846
1078	78996.58882
1079	78979.68255
1080	78953.50993
1081	78936.03137
1082	78920.5284
1083	78903.84978
1084	78886.70063
1085	78863.12162
1086	78841.90041
1087	78822.47189
1088	78807.14355
1089	78793.01046
1090	78768.65313
1091	78755.2372
1092	78746.1119
1093	78733.42697
1094	78714.30749
1095	78692.27755
1096	78673.72934
1097	78659.96616
1098	78644.39526
1099	78622.6193
1100	78608.01834
1101	78589.68873
1102	78574.82858
1103	78560.53799
1104	78543.67186
1105	78527.43412
1106	78514.67304
1107	78498.79638
1108	78482.68782
1109	78467.67668
1110	78449.50427
1111	78435.53232
1112	78411.31627
1113	78398.91578
1114	78385.36014
1115	78365.36895
1116	78344.84919
1117	78327.66979
1118	78302.88648
1119	78285.10032
1120	78269.3861
1121	78251.24665
1122	78239.93214
1123	78218.69825
1124	78204.98473
1125	78189.51951
1126	78172.96382
1127	78156.09857
1128	78141.68877
1129	78122.25179
1130	78102.49348
1131	78079.55525
1132	78067.83059
1133	78054.98651
1134	78038.21255
1135	78023.08409
1136	77996.10799
1137	77976.73052
1138	77960.93086
1139	77940.85653
1140	77926.27826
1141	77905.06395
1142	77882.32496
1143	77860.06917
1144	77845.1303
1145	77832.70455
1146	77805.71967
1147	77795.78151
1148	77786.06054
1149	77773.63827
1150	77756.77526
1151	77739.88189
1152	77729.041
1153	77711.84624
1154	77692.28226
1155	77669.78882
1156	77658.06308
1157	77641.05096
1158	77624.81533
1159	77605.68021
1160	77591.54394
1161	77582.11796
1162	77571.89953
1163	77559.51459
1164	77533.06029
1165	77521.86011
1166	77504.91444
1167	77487.65678
1168	77473.43016
1169	77459.30605
1170	77440.88357
1171	77426.55194
1172	77413.34603
1173	77395.89474
1174	77378.63404
1175	77355.50248
1176	77343.68929
1177	77326.39754
1178	77305.41683
1179	77290.48335
1180	77279.24477
1181	77257.70718
1182	77241.24358
1183	77230.66066
1184	77210.48319
1185	77199.62832
1186	77185.40708
1187	77162.97785
1188	77145.43296
1189	77134.10723
1190	77104.90782
1191	77090.76334
1192	77071.96523
1193	77058.91568
1194	77041.7755
1195	77025.00959
1196	77009.0621
1197	76996.35139
1198	76979.96742
1199	76964.73761
1200	76943.14121
1201	76933.63978
1202	76923.73558
1203	76909.65381
1204	76888.1015
1205	76875.37968
1206	76863.87358
1207	76847.91501
1208	76832.09811
1209	76821.2733
1210	76801.91087
1211	76787.67457
1212	76769.37535
1213	76747.48412
1214	76732.46484
1215	76711.81422
1216	76700.3385
1217	76686.97499
1218	76670.36409
1219	76646.8189
1220	76627.05114
1221	76606.89888
1222	76593.46357
1223	76581.63472
1224	76572.23387
1225	76550.61692
1226	76542.24219
1227	76521.69979
1228	76496.6528
1229	76478.25834
1230	76463.86788
1231	76452.27153
1232	76436.81612
1233	76424.59824
1234	76407.81614
1235	76396.11391
1236	76380.5296
1237	76365.91059
1238	76356.00389
1239	76336.93931
1240	76322.26575
1241	76301.36863
1242	76282.25543
1243	76268.6782
1244	76252.38548
1245	76239.83368
1246	76226.80764
1247	76201.303
1248	76181.24648
1249	76161.27943
1250	76147.85507
1251	76136.51816
1252	76124.08831
1253	76109.05309
1254	76091.06321
1255	76072.70646
1256	76053.89497
1257	76036.76357
1258	76020.80657
1259	76005.05798
1260	75994.43552
1261	75981.01416
1262	75966.66104
1263	75956.38561
1264	75945.6082
1265	75932.62745
1266	75917.8467
1267	75906.51924
1268	75887.44257
1269	75870.51228
1270	75860.17271
1271	75844.43224
1272	75833.32624
1273	75820.97466
1274	75803.68886
1275	75790.45653
1276	75778.79222
1277	75764.71316
1278	75748.7489
1279	75730.46092
1280	75717.61813
1281	75708.48424
1282	75689.60187
1283	75679.72258
1284	75659.84628
1285	75643.18916
1286	75629.41128
1287	75612.80301
1288	75601.00153
1289	75583.89933
1290	75564.02406
1291	75548.82483
1292	75529.90552
1293	75517.75758
1294	75501.02002
1295	75482.49634
1296	75470.38287
1297	75452.55007
1298	75443.41427
1299	75423.9229
1300	75411.72109
1301	75395.30809
1302	75384.18209
1303	75375.29174
1304	75360.01067
1305	75340.4302
1306	75327.63217
1307	75302.59247
1308	75289.61538
1309	75274.65755
1310	75254.96925
1311	75239.3081
1312	75224.90329
1313	75208.97744
1314	75199.78804
1315	75188.06047
1316	75166.72005
1317	75154.46495
1318	75132.71019
1319	75112.89771
1320	75096.54112
1321	75078.72684
1322	75068.26638
1323	75049.6906
1324	75032.21609
1325	75014.15976
1326	75002.95411
1327	74989.61917
1328	74976.21608
1329	74964.01475
1330	74952.54135
1331	74933.68921
1332	74921.03859
1333	74903.48838
1334	74882.19272
1335	74865.4888
1336	74850.31234
1337	74836.47052
1338	74816.1562
1339	74800.13099
1340	74781.28536
1341	74762.11617
1342	74749.4857
1343	74735.32764
1344	74723.50102
1345	74714.18019
1346	74698.423
1347	74689.54869
1348	74669.22844
1349	74649.40618
1350	74633.0729
1351	74614.24658
1352	74590.7971
1353	74570.37618
1354	74561.01533
1355	74545.0803
1356	74534.08875
1357	74520.8083
1358	74502.45629
1359	74486.62578
1360	74477.7757
1361	74460.06257
1362	74438.98323
1363	74422.26783
1364	74408.99012
1365	74394.80579
1366	74376.5504
1367	74361.93334
1368	74349.87403
1369	74332.77251
1370	74320.66856
1371	74306.53974
1372	74303.161
1373	74288.27975
1374	74276.47005
1375	74267.38065
1376	74255.64309
1377	74238.22518
1378	74225.28557
1379	74202.80464
1380	74190.27539
1381	74169.60638
1382	74157.14982
