iter	Passed	Remaining
0	42	106974
1	76	96160
2	112	93595
3	140	87374
4	168	84216
5	197	82250
6	230	81989
7	256	79937
8	282	78216
9	311	77524
10	343	77662
11	367	76277
12	393	75197
13	418	74245
14	451	74740
15	476	73937
16	500	73124
17	527	72744
18	554	72435
19	578	71735
20	602	71122
21	627	70642
22	651	70207
23	676	69784
24	700	69332
25	730	69547
26	754	69138
27	781	68980
28	805	68628
29	831	68473
30	855	68117
31	881	67975
32	907	67872
33	939	68170
34	968	68201
35	991	67842
36	1015	67587
37	1040	67432
38	1069	67467
39	1094	67312
40	1117	66999
41	1141	66798
42	1165	66582
43	1189	66368
44	1219	66532
45	1242	66300
46	1266	66107
47	1289	65867
48	1314	65732
49	1343	65849
50	1367	65664
51	1392	65543
52	1420	65586
53	1445	65464
54	1467	65255
55	1492	65127
56	1519	65146
57	1549	65250
58	1573	65102
59	1596	64907
60	1619	64771
61	1644	64675
62	1669	64562
63	1697	64617
64	1729	64782
65	1756	64764
66	1780	64654
67	1809	64698
68	1832	64560
69	1853	64349
70	1876	64208
71	1904	64223
72	1928	64130
73	1952	63997
74	1976	63919
75	1999	63767
76	2023	63683
77	2049	63650
78	2079	63717
79	2105	63699
80	2133	63713
81	2157	63630
82	2180	63503
83	2204	63399
84	2229	63344
85	2253	63252
86	2275	63112
87	2300	63044
88	2322	62911
89	2347	62857
90	2371	62790
91	2394	62664
92	2418	62587
93	2448	62677
94	2479	62770
95	2502	62663
96	2525	62571
97	2549	62478
98	2571	62361
99	2595	62291
100	2620	62235
101	2645	62206
102	2670	62148
103	2698	62175
104	2724	62153
105	2758	62308
106	2785	62295
107	2811	62267
108	2840	62307
109	2873	62440
110	2897	62364
111	2920	62269
112	2943	62185
113	2972	62204
114	2995	62122
115	3018	62030
116	3046	62047
117	3075	62082
118	3100	62028
119	3124	61975
120	3149	61916
121	3175	61894
122	3204	61934
123	3241	62102
124	3269	62127
125	3296	62108
126	3318	62008
127	3343	61962
128	3373	61998
129	3397	61943
130	3421	61870
131	3444	61789
132	3467	61706
133	3496	61734
134	3521	61686
135	3545	61625
136	3569	61572
137	3594	61523
138	3621	61520
139	3645	61459
140	3670	61415
141	3695	61360
142	3719	61307
143	3747	61312
144	3773	61279
145	3800	61269
146	3825	61234
147	3851	61207
148	3874	61137
149	3896	61041
150	3919	60974
151	3943	60912
152	3966	60838
153	3990	60796
154	4017	60780
155	4044	60776
156	4069	60733
157	4093	60676
158	4117	60625
159	4141	60566
160	4164	60497
161	4194	60531
162	4220	60513
163	4243	60437
164	4265	60363
165	4290	60328
166	4312	60248
167	4335	60183
168	4367	60234
169	4392	60200
170	4415	60143
171	4443	60139
172	4472	60155
173	4494	60083
174	4519	60039
175	4547	60048
176	4574	60040
177	4598	59982
178	4622	59933
179	4654	59991
180	4686	60043
181	4716	60071
182	4740	60014
183	4763	59961
184	4787	59904
185	4810	59850
186	4834	59799
187	4857	59736
188	4882	59697
189	4906	59655
190	4928	59581
191	4950	59515
192	4976	59483
193	5007	59523
194	5039	59567
195	5065	59545
196	5093	59547
197	5118	59509
198	5142	59457
199	5179	59563
200	5207	59563
201	5234	59546
202	5260	59528
203	5285	59486
204	5310	59450
205	5336	59422
206	5361	59385
207	5390	59403
208	5414	59356
209	5438	59310
210	5461	59251
211	5485	59205
212	5508	59144
213	5532	59104
214	5555	59039
215	5576	58971
216	5599	58911
217	5624	58873
218	5648	58827
219	5672	58783
220	5699	58771
221	5721	58706
222	5744	58657
223	5767	58606
224	5791	58561
225	5816	58525
226	5845	58535
227	5882	58617
228	5908	58592
229	5933	58556
230	5960	58550
231	5991	58576
232	6022	58600
233	6049	58582
234	6079	58598
235	6103	58547
236	6125	58492
237	6149	58448
238	6177	58438
239	6202	58409
240	6226	58367
241	6249	58311
242	6273	58265
243	6297	58229
244	6323	58205
245	6353	58213
246	6378	58178
247	6403	58145
248	6425	58086
249	6449	58046
250	6473	58005
251	6496	57952
252	6519	57905
253	6540	57838
254	6564	57789
255	6587	57740
256	6613	57716
257	6637	57675
258	6658	57616
259	6683	57585
260	6706	57528
261	6730	57489
262	6753	57441
263	6775	57390
264	6799	57349
265	6822	57297
266	6845	57249
267	6869	57209
268	6891	57154
269	6914	57106
270	6937	57063
271	6961	57019
272	6986	56990
273	7015	56993
274	7040	56961
275	7063	56921
276	7090	56901
277	7113	56859
278	7140	56842
279	7164	56806
280	7186	56752
281	7209	56700
282	7233	56663
283	7259	56641
284	7287	56637
285	7319	56659
286	7342	56616
287	7366	56576
288	7389	56534
289	7413	56492
290	7435	56444
291	7463	56439
292	7488	56404
293	7511	56362
294	7533	56310
295	7555	56260
296	7578	56214
297	7600	56165
298	7626	56137
299	7655	56140
300	7679	56102
301	7703	56065
302	7725	56014
303	7747	55962
304	7771	55927
305	7794	55887
306	7824	55892
307	7848	55855
308	7870	55808
309	7893	55765
310	7916	55721
311	7939	55679
312	7965	55658
313	7994	55656
314	8022	55645
315	8048	55624
316	8083	55665
317	8105	55618
318	8127	55565
319	8151	55529
320	8178	55515
321	8206	55506
322	8232	55485
323	8255	55442
324	8279	55408
325	8301	55363
326	8323	55312
327	8346	55273
328	8374	55260
329	8400	55242
330	8424	55201
331	8448	55171
332	8469	55115
333	8492	55074
334	8515	55032
335	8537	54988
336	8561	54953
337	8590	54946
338	8615	54918
339	8638	54880
340	8662	54842
341	8685	54803
342	8714	54803
343	8739	54775
344	8771	54791
345	8802	54797
346	8837	54831
347	8867	54838
348	8890	54793
349	8915	54768
350	8943	54759
351	8967	54720
352	8998	54728
353	9031	54748
354	9058	54735
355	9084	54712
356	9120	54745
357	9146	54725
358	9175	54722
359	9201	54696
360	9223	54649
361	9247	54614
362	9270	54574
363	9293	54535
364	9318	54508
365	9343	54476
366	9365	54429
367	9389	54400
368	9419	54396
369	9442	54357
370	9465	54319
371	9497	54329
372	9524	54312
373	9549	54286
374	9572	54245
375	9595	54203
376	9618	54165
377	9642	54133
378	9669	54111
379	9697	54100
380	9720	54063
381	9742	54015
382	9765	53980
383	9792	53960
384	9815	53922
385	9838	53881
386	9865	53867
387	9892	53845
388	9920	53836
389	9944	53804
390	9969	53773
391	9993	53742
392	10021	53729
393	10054	53743
394	10081	53724
395	10108	53708
396	10134	53686
397	10160	53660
398	10189	53652
399	10211	53612
400	10233	53566
401	10255	53520
402	10279	53486
403	10302	53450
