iter	Logloss
0	0.5294487248
1	0.4076254264
2	0.324427876
3	0.2656466639
4	0.226636489
5	0.1973542295
6	0.1756178062
7	0.160569007
8	0.1492613165
9	0.1411125989
10	0.1349007558
11	0.130302651
12	0.1267622785
13	0.1239361882
14	0.1218290356
15	0.1201769425
16	0.1187882992
17	0.1177575499
18	0.1168319032
19	0.1161040879
20	0.1154459712
21	0.1149417259
22	0.1146916518
23	0.1141908643
24	0.113649583
25	0.1131206788
26	0.1128214383
27	0.1125542418
28	0.1123686452
29	0.1121810212
30	0.1119509864
31	0.1117176308
32	0.111644557
33	0.1115269591
34	0.1112827209
35	0.1110983498
36	0.1108330909
37	0.1106616075
38	0.110425717
39	0.1102525618
40	0.1102134379
41	0.1099503626
42	0.1097662391
43	0.1097079251
44	0.1096446801
45	0.1096334375
46	0.1094635866
47	0.1093628123
48	0.1093134009
49	0.1092551801
50	0.1092096398
51	0.1090261133
52	0.1089624081
53	0.1088843163
54	0.1087488762
55	0.1086088497
56	0.1085469702
57	0.1084067762
58	0.1082493455
59	0.1081544657
60	0.1080302476
61	0.1080281474
62	0.1079407521
63	0.10786222
64	0.1077803433
65	0.10767545
66	0.1075614348
67	0.1074453585
68	0.10741748
