iter	Passed	Remaining
0	6	1800
1	11	1779
2	16	1656
3	21	1605
4	25	1492
5	30	1489
6	35	1475
7	39	1445
8	44	1446
9	49	1432
10	54	1423
11	59	1433
12	64	1415
13	69	1427
14	74	1416
15	79	1419
16	85	1422
17	90	1423
18	95	1409
19	100	1403
20	104	1393
21	110	1393
22	112	1357
23	117	1352
24	122	1346
25	127	1338
26	131	1332
27	136	1326
28	142	1330
29	146	1320
30	152	1322
31	159	1337
32	163	1325
33	167	1311
34	172	1306
35	177	1302
36	183	1301
37	187	1293
38	192	1290
39	196	1280
40	201	1276
41	207	1272
42	212	1271
43	216	1261
44	221	1255
45	225	1242
46	228	1231
47	235	1237
48	240	1233
49	245	1229
50	251	1228
51	255	1220
52	259	1210
53	265	1209
54	269	1202
55	276	1205
56	280	1195
57	284	1188
58	288	1179
59	293	1175
60	297	1166
61	300	1152
62	306	1151
63	310	1145
64	315	1141
65	320	1136
66	326	1133
67	330	1127
68	335	1121
